,news_text
0,"    สื่ออิสราเอล รายงานว่า กระทรวงสาธารณสุขอิสราเอล เตรียมทำลายวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค อย่างน้อย 800,000 โดส ที่จะหมดอายุ ในช่วงปลายเดือนกรกฎาคมนี้ หากไม่สามารถหาผู้ซื้อได้ในอีก 2 สัปดาห์ข้างหน้า"
1,            จังหวัดลำปางมีหนังสือด่วนที่สุด ลงวันที่ 30 มิถุนายน 2564 ส่งถึงหน่วยงานราชการ องค์กรปกครองส่วนท้องถิ่น และภาคเอกชน เรื่อง ขอความร่วมมือในการควบคุมการเดินทางของบุคคลเข้ามายังพื้นที่จังหวัดลำปาง เพื่อควบคุมสถานการณ์โรคโควิด 19 ของจังหวัด ให้อยู่ในสถานการณ์ที่จำกัด โดยระบุว่า ด้วยสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 ในพื้นที่จังหวัดลำปาง ในช่วง 4 วันที่ผ่านมา จังหวัดลำปางพบผู้ติดเชื้อรายใหม่จำนวน 4 ราย ซึ่งเป็นผู้ที่เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวด และจากไทม์ไลน์ของผู้ติดเชื้อโควิด 19 ปรากฏว่าเมื่อเดินทางเข้ามาในพื้นที่จังหวัดลำปางแล้วไม่ได้ดำเนินการตามมาตรการควบคุมโรคจังหวัดลำปางได้กำหนดไว้คณะกรรมการโรคติดต่อจังหวัดลำปางได้มีมติในคราวการประชุม ครั้งที่ 28/2564 เมื่อวันที่ 29 มิถุนายน 2564 ทบทวนมาตรการควบคุมการเดินทางของบุคคลที่เข้ามายังพื้นที่จังหวัดลำปาง เพื่อให้สอดคล้องกับสถานการณ์ปัจจุบัน จังหวัดลำปางจึงขอเน้นย้ำให้ทุกภาคส่วนดำเนินการตามมาตรการที่จังหวัดลำปางกำหนด ดังนี้ 
2,           วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
3,           บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิด                เอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิด              เดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ 
4,"โปรยหัว:        ทั่วโลกตระหนักถึงความร้ายกาจของโรคโควิด-19 และทราบดีว่าวัคซีนเป็นหนทางเดียวที่จะเอาชนะการระบาดใหญ่ครั้งนี้ได้ แต่ขณะที่หลายชาติเดินหน้าฉีดวัคซีนอย่างเต็มที่ ประชาชนในบางประเทศกลับยังเฝ้ารอวัคซีนเข็มแรกของพวกเขาอยู่  ซึ่งเป็นความเหลื่อมล้ำที่เห็นได้ชัดในเวลานี้...ติดตามเรื่องนี้จากรายงานพิเศษ..//  ผู้รายงาน:      การระบาดใหญ่ของโรคโควิด-19จะสิ้นสุดลงได้ก็ต่อเมื่อประชากรส่วนใหญ่ในโลกมีภูมิคุ้มกันต่อไวรัสร้ายที่ก่อโรคนี้ ซึ่งเป้าหมายดังกล่าวจะบรรลุผลได้ด้วยการฉีดวัคซีน        เหมือนเช่นเมื่อครั้งเกิดโรคระบาดที่ผ่านมา ด้วยเหตุนี้แต่ละประเทศจึงเดินหน้าฉีดวัคซีนอย่างเต็มที่ ทำให้จนถึงขณะนี้ทั่วโลกมีการฉีดวัคซีนโควิด-19 แล้วกว่า 3,000 ล้านโดส                       อย่างไรก็ตามเนื่องจากครั้งนี้เป็นการระบาดใหญ่ วัคซีนเป็นที่ต้องการปริมาณมาก และการที่ชาติร่ำรวยพากันกักตุนวัคซีนก็ทำให้บางประเทศยังไม่สามารถขับเคลื่อนโครงการฉีดวัคซีนได้ รวมถึง 5 ชาติสมาชิกองค์การอนามัยโลกอย่างบุรุนดี แทนซาเนีย เฮติ เกาหลีเหนือและเอริเทรีย ที่ยังไม่ได้ฉีดวัคซีนแม้เพียงโดสเดียว เป็นความเหลื่อมล้ำที่เห็นได้อย่างชัดเจน                     "
5,           วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
6,           บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิดเอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิดเดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ 
7,"        กระทรวงสาธารณสุข ใช้แนวทาง 4 D (Diet, Development & play, Dental และ Diseases) ยกระดับสถานพัฒนาเด็กปฐมวัย ส่งเสริมพัฒนาการด้านอาหาร การเล่น สุขภาพฟัน และการป้องกันโรค พร้อมย้ำให้ สถานพัฒนาเด็กปฐมวัยเข้มงวดมาตรการของกระทรวงสาธารณสุขอย่างเคร่งครัดป้องกันโควิด-19"
8,           สำนักข่าวเอเอฟพี รายงานโดยอ้างแถลงการณ์ของ ดร.มาร์โค คาวาเลอรี หัวหน้าฝ่ายยุทธศาสตร์ด้านวัคซีนขององค์การยาแห่งสหภาพยุโรป หรือ อีเอ็มเอ ที่ระบุว่า วัคซีนโควิด-19 ได้รับการอนุมัติให้ใช้ในสหภาพยุโรป ทั้ง 4 ชนิด ประกอบด้วยวัคซีนของไฟเซอร์-ไบโอเอ็นเทค โมเดอร์นา แอสตราเซเนกา และจอห์นสันแอนด์จอห์นสัน มีประสิทธิภาพในการต้านเชื้อโควิด-19 ทุกสายพันธุ์ รวมถึงสายพันธุ์เดลตา ที่แพร่ระบาดอย่างรวดเร็ว
10, 
11,           กระทรวงสาธารณสุขแอฟริกาใต้เปิดเผยว่า หน่วยงานกำกับดูแลผลิตภัณฑ์ด้านสุขภาพแห่งชาติอนุมัติการใช้วัคซีนโควิด-19 “โคโรนาแวค” ของบริษัทซิโนแวค ไบโอเทค จากจีน เป็นกรณีฉุกเฉินแล้วนับเป็นวัคซีนขนานที่ 4 ที่อนุมัติให้ใช้ในประเทศถัดจากวัคซีนของไฟเซอร์-ไบโอเอ็นเทค แอสตราเซเนกา และจอห์นสันแอนด์จอห์นสัน เพื่อเร่งโครงการฉีดวัคซีน-19 หลังมีประชากรที่ได้รับวัคซีนครบโดสแล้ว เพียงร้อยละ 5 หรือประมาณ 3 ล้าน 3 แสนคน จากประชากรทั้งหมด กว่า 60 ล้านคน
12,           อิสราเอลกำลังเจรจากับประเทศอื่น ๆ เพื่อมอบวัคซีนโควิด-19 ของไฟเซอร์/                    ไบโอเอ็นเทค ส่วนเกินที่จะหมดอายุภายในสิ้นเดือนนี้ โดยการทำข้อตกลงใดๆ จะต้องได้รับการอนุมัติจากบริษัทไฟเซอร์ก่อน
13, กรณีมีการเผยแพร่เอกสารการประชุมของคณะกรรมการด้านวิชาการตาม พ.ร.บ.โรคติดต่อ พ.ศ.2558 คณะอนุกรรมการสร้างเสริมภูมิคุ้มกันโรค และคณะทำงานวิชาการด้านบริหารจัดการและศึกษาการให้บริการวัคซีน โดยประเด็นที่ถูกวิพากษ์วิจารณ์ คือ ในที่ประชุมมีการพูดว่า หากนำวัคซีนไฟเซอร์เข็มที่ 3 มากระตุ้นบุคลากรที่ฉีดวัคซีนซิโนแวค 2 เข็ม จะแสดงว่าซิโนแวคไม่มีประสิทธิภาพนั้น จนเกิดกระแสวิพากษ์วิจารณ์ว่า เรื่องนี้จริงหรือไม่
14,พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม เป็นประธานการประชุมคณะรัฐมนตรี ผ่านระบบ Video Conference จากบ้านพักในกรมทหารราบที่ 1 มหาดเล็กราชวัลลภรักษาพระองค์ เนื่องจากสถานการณ์โควิด-19 ที่ล่าสุดนายกรัฐมนตรีอยู่ในกลุ่มที่ต้องกักตัวเฝ้าดูอาการหลังพบว่านายวีรศักดิ์ พิษณุวงษ์ ประธานหอการค้าจังหวัดสุรินทร์ที่ได้มาขอถ่ายภาพคู่กับนายกรัฐมนตรีในงานเปิดโครงการภูเก็ตแซนด์บ็อกซ์เมื่อวันที่ 1 กรกฎาคมที่ผ่านมาติดเชื้อโควิด-19 แม้ว่าผลตรวจเชื้อล่าสุดนายกรัฐมนตรีจะออกมาเป็นลบแต่ก็ต้องปฏิบัติตัวตามมาตรการสาธารณสุขเพราะถือว่าสัมผัสใกล้ชิดผู้ป่วยอยู่ในเกณฑ์เสี่ยงสูง ดังนั้นจึงถือเป็นครั้งแรกที่นายกรัฐมนตรีต้องวีดีโอคอนเฟอเรนซ์จากบ้านพัก ซึ่งเบื้องต้นนายกรัฐมนตรีจะกักตัวประมาณ 7 วัน
15,           สำนักข่าวต่างประเทศ รายงานโดยอ้างผลการศึกษาของกระทรวงสาธารณสุขอิสราเอล ที่ระบุว่า เชื้อโควิด-19 สายพันธุ์เดลตา ที่พบครั้งแรกในอินเดีย ส่งผลให้วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิภาพลดลง โดยประสิทธิภาพในการป้องกันการติดเชื้อและการเกิดอาการป่วย ลดลงเหลือร้อยละ 64 ส่วนประสิทธิภาพในการป้องกันอาการป่วยรุนแรง ลดลงอยู่ที่ร้อยละ 93 อย่างไรก็ตาม ทางการอิสราเอล ไม่ได้เปิดเผยรายละเอียดเพิ่มเติม เกี่ยวกับผลการศึกษาดังกล่าว 
16,นายอนุชา บูรพชัยศรี โฆษกประจำสำนักนายกรัฐมนตรี กล่าวว่า ครม.เห็นชอบให้กระทรวงสาธารณสุข จัดหาวัคซีนไฟเซอรและมอบให้อธิบดีกรมควบคุมโรค ลงนามในสัญญา เจรจากับผู้ผลิตอีกครั้ง เบื้องต้นคาดว่า จะจัดซื้อจำนวน 20 ล้านโดส แต่ขณะนี้ยังไม่สามารถเปิดเผยรายละเอียดสัญญาได้ และ ครม.เห็นชอบข้อตกลงกับทางสหรัฐฯ รับมอบความช่วยเหลือวัคซีนไฟเซอร์ ซึ่งเป็นอีกส่วนหนึ่งที่รัฐบาลดำเนินการเพิ่มเติม ขณะที่วัคซีนโมเดอร์นา ซึ่งถือเป็นวัคซีนทางเลือกที่ประชาชนจะต้องชำระเงินกับภาคเอกชน ที่ประชุม ครม. เห็นชอบให้องค์การเภสัชกรรมเป็นตัวกลางในการจัดหาวัคซีน  และ ผอ.องค์การเภสัชกรรม ลงนามในสัญญาและไปเจรจากับผู้ผลิต
17,ประมวลข่าวทั่วไทยประจำวันที่ 6 กรกฎาคม 2564
18,           สำนักข่าวต่างประเทศ รายงานว่า รัฐบาลอิสราเอลบรรลุข้อตกลงแลกเปลี่ยนวัคซีนโควิด-19 กับเกาหลีใต้  โดยทางการอิสราเอล จะจัดส่งวัคซีนของไฟเซอร์-ไบเอ็นเทค ที่ใกล้หมดอายุ ในวันที่ 31 กรกฎาคม นี้ จำนวน 7 แสนโดส ให้แก่เกาหลีใต้ ภายในเดือนนี้ ส่วนทางการเกาหลีใต้ จะจัดส่งวัคซีนของไฟเซอร์-ไบเอ็นเทค ในจำนวนที่เท่ากันให้แก่อิสราเอล ภาย ในเดือนกันยายนและตุลาคม นี้
19,
20,        เมื่อวันที่ 6 กรกฎาคม 2564 ที่กระทรวงสาธารณสุข จ.นนทบุรี : นายอนุทิน ชาญวีรกูล รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข เปิดเผยว่า กระทรวงสาธารณสุขได้นำหลักการลงนามในสัญญาการจัดซื้อวัคซีนไฟเซอร์ ซึ่งคู่สัญญาคือกรมควบควบคุมโรค และการจัดซื้อวัคซีนโมเดอร์นา ซึ่งเป็นวัคซีนทางเลือก ตามนโยบาย ศบค. และรัฐบาล เข้าขอความเห็นชอบจากคณะรัฐมนตรี โดยมีการชี้แจงข้อสงสัย ข้อกังวลต่างๆ และฝ่ายกฎหมายได้ชี้แจงความจำเป็นเร่งด่วนในการจัดหา ซึ่งคณะรัฐมนตรีมีมติเห็นชอบมอบหมายให้กรมควบคุมโรคลงนามในสัญญาจัดหาวัคซีนไฟเซอร์ จำนวน 20 ล้านโดส และรับการบริจาคอีกจำนวนหนึ่งจากรัฐบาลสหรัฐอเมริกาในสัญญาเดียวกัน ด้านสำนักงานอัยการสูงสุดได้พิจารณาร่างสัญญาทั้ง 2 ฉบับของกรมควบคุมโรคและองค์การเภสัชกรรม โดยได้อนุมัติกรอบใหญ่ไว้เรียบร้อยแล้ว ขณะนี้หน่วยงานที่เกี่ยวข้องจะพยายามเจรจากับผู้จำหน่ายวัคซีนให้ได้เงื่อนไขที่ดีที่สุด ก่อนที่จะลงนามต่อไป ซึ่งการจัดส่งวัคซีนจะเป็นในไตรมาสที่ 4 ของปี 2564
21," ภาคีบุคลากรสาธารณสุขและกลุ่มหมอไม่ทน  โดยนายแพทย์สันติ กิจวัฒนาไพบูลย์  แต่งชุดดำไว้อาลัยผู้เสียชีวิตจากโควิด -19 นำรายชื่อจากภาคประชาชนและบุคลากรทางการแพทย์ที่ร่วมลงชื่อผ่านทางช่องทางออนไลน์กว่า 215,409 รายชื่อ ยื่นต่อประธานสภาผู้แทนราษฎร พรรคการเมือง ทั้งฝ่ายค้านและรัฐบาล เพื่อให้ช่วยผลักดันข้อเรียกร้องไปยังรัฐบาล รวมถึงองค์การเภสัชกรรม เร่งรัดการนำเข้าวัคซีนชนิด mRNA เช่น ไฟเซอร์  โมเดอร์นา และพิจารณาใช้วัคซีนชนิดดังกล่าวเป็นวัคซีนหลักของประเทศมาบริการฉีดให้ประชาชนทุกคนมโดยไม่เสียค่าใช้จ่าย เนื่องจากมีประสิทธิภาพสูงในการป้องกันโควิด-19 ครอบคลุมเชื้อชนิดกลายพันธุ์ พร้อมให้เผยแพร่ข้อมูลกระบวนการในการจัดหาและกระจายวัคซีนในปัจจุบันอย่างโปร่งใส ตรวจสอบได้ โดยหวังว่ารัฐบาลและองค์การเภสัชกรรมจะทบทวนการทำงานและพิจารณาข้อเรียกร้องข้อเสนอแนะถึงเชิงนโยบายเพื่อเป็นประโยชน์ต่อประเทศในระยะยาว"
22,        รองผู้อำนวยการโรงพยาบาลมหาราชนครเชียงใหม่ แนะผู้ป่วยโรคไตควรฉีดวัคซีน COVID-19 หากติดเชื้อ COVID-19 จะมีความรุนแรงของโรคมากกว่าคนทั่วไป และจะมีโอกาสเสียชีวิตร้อยละ 30-40 
23,ประมวลข่าวทั่วไทยประจำวันที่ 7 กรกฎาคม 2564
24,            (7 ก.ค. 64) สำนักงานประชาสัมพันธ์จังหวัดตราด รายงานว่า คณะรัฐมนตรี (ครม.) มีมติเห็นชอบโครงการจัดหาวัคซีนป้องกันโรคติดเชื้อโควิด-19 โดยอนุมัติจัดซื้อวัคซีนเพิ่มเติม ดังนี้
25,
26,            คณะรัฐมนตรี (ครม.) มีมติเห็นชอบโครงการจัดหาวัคซีนป้องกันโรคติดเชื้อโควิด-19 โดยอนุมัติจัดซื้อวัคซีนเพิ่มเติม ดังนี้
27,"        นางสุภัตรา เลี่ยมรัตน์ รักษาราชการแทนประชาสัมพันธ์จังหวัดสุราษฎร์ธานีกล่าวว่า คณะรัฐมนตรี (ครม.) มีมติเห็นชอบโครงการจัดหาวัคซีนป้องกันโรคติดเชื้อโควิด-19 โดยอนุมัติจัดซื้อวัคซีนซิโนแวคเพิ่มเติม 10.9 ล้านโดส วงเงิน 6,111 ล้านบาท ตามข้อเสนอของกรมควบคุมโรค กระทรวงสาธารณสุข, วัคซีนไฟเซอร์ 20 ล้านโดส ซึ่งเป็นวัคซีนหลักฉีดฟรีให้กับประชาชน โดยกระทรวงสาธารณสุขมอบหมายให้อธิบดีกรมควบคุมโรคดำเนินการและนำข้อสังเกตของอัยการสูงสุดไปจัดทำรายละเอียดในการเจรจาจัดหา จำนวน 20 ล้านโดส แต่ยังไม่สามารถเปิดเผยรายละเอียดในสัญญาได้ รวมถึงการรับมอบวัคซีนไฟเซอร์ที่รัฐบาลสหรัฐอเมริกาบริจาคให้ไทยอีกจำนวน 1.5 ล้านโดส ซึ่งจะจัดส่งให้ไทยภายในปีนี้ และวัคซีนโมเดอร์นา 5 - 9 ล้านโดส เป็นวัคซีนทางเลือกซึ่งประชาชนต้องซื้อกับเอกชน โดยกระทรวงสาธารณสุขให้องค์การเภสัชกรรม(อภ.) เป็นตัวกลางจัดหาจำนวนประมาณ 5 - 9 ล้านโดส และนำเข้าภายในไตรมาส 4 หรือประมาณเดือนตุลาคมปีนี้"
28,"        สำนักงานประชาสัมพันธ์จังหวัดแพร่รายงานว่า คณะรัฐมนตรี (ครม.) มีมติเห็นชอบโครงการจัดหาวัคซีนป้องกันโรคติดเชื้อโควิด-19 โดยอนุมัติจัดซื้อวัคซีนเพิ่มเติมประกอบด้วย วัคซีนซิโนแวค 10.9 ล้านโดส วงเงิน 6,111 ล้านบาท ตามข้อเสนอของกรมควบคุมโรค กระทรวงสาธารณสุข , วัคซีนไฟเซอร์ 20 ล้านโดส เป็นวัคซีนหลัก ฉีดฟรีให้กับประชาชน โดยกระทรวงสาธารณสุข มอบหมายให้อธิบดีกรมควบคุมโรคดำเนินการและนำข้อสังเกตของอัยการสูงสุด ไปจัดทำรายละเอียดในการเจรจาจัดหา จำนวน 20 ล้านโดส แต่ยังไม่สามารถเปิดเผยรายละเอียดในสัญญาได้ รวมถึงการรับมอบวัคซีนไฟเซอร์ที่รัฐบาลสหรัฐอเมริกาบริจาคให้ไทยอีกจำนวน 1.5 ล้านโดส ซึ่งจะจัดส่งให้ไทยภายในปีนี้ , วัคซีนโมเดอร์นา 5-9 ล้านโดส เป็นวัคซีนทางเลือก ซึ่งประชาชนต้องซื้อกับเอกชน โดยกระทรวงสาธารณสุขให้องค์การเภสัชกรรม (อภ.) เป็นตัวกลางจัดหา จำนวนประมาณ 5-9 ล้านโดส และนำเข้าภายในไตรมาส 4 หรือประมาณเดือนตุลาคม ปีนี้"
29,"            ศูนย์อำนวยการบริหารจังหวัดชายแดนภาคใต้ (ศอ.บต.) ร่วมกับคณะแพทยศาสตร์มหาวิทยาลัย สงขลานครินทร์ , จังหวัดชายแดนภาคใต้, สำนักงานหลักประกันสุขภาพ เขต 12, กระทรวงสาธารณสุข พร้อมด้วย หน่วยงานที่เกี่ยวข้องในพื้นที่จังหวัดชายแดนภาคใต้หลายภาคส่วน อาทิสาธารณสุขจังหวัดชายแดนภาคใต้, สำนักงานส่งเสริมการปกครองส่วนท้องถิ่นจังหวัดชายแดนภาคใต้, องค์การปกครองส่วนท้องถิ่น ภาคเอกชน และภาคประชาชนในพื้นที่จังหวัดชายแดนภาคใต้ล้วนมีความตระหนักถึงปัญหาการแพร่ระบาดของโรคติด เชื้อไวรัสโคโรน่า-2019 (โควิด-19) อย่างรวดเร็วในพื้นที่จังหวัดชายแดนภาคใต้โดยเฉพาะโควิด-19 สายพันธุ์ใหม่ ที่มีการแพร่ระบาดในพื้นที่อย่างรวดเร็วและต่อเนื่องในหลายคลาสเตอร์ประกอบกับปัญหาการลักลอบเข้า ประเทศไทย-มาเลเซียตามช่องทางธรรมชาติบริเวณชายแดนไทย-มาเลเซีย ทำให้จำนวนผู้ติดเชื้อในพื้นที่ จังหวัดชายแดนภาคใต้มีอัตราสูงขึ้นหลายเท่าตัว และมีแนวโน้มการแพร่ระบาดสูงมากขึ้น ดังจะเห็นได้จาก อัตราการป่วยต่อประชากร จะพบว่าจังหวัดปัตตานีจังหวัดสงขลาและจังหวัดยะลา สูงกว่าจังหวัดในระดับล่าง ถึงกว่าร้อยเท่า (ข้อมูล ณ วันที่ 1 กรกฎาคม 2564)"
30,นางสาวไตรศุลี ไตรสรณกุล รองโฆษกประจำสำนักนายกรัฐมนตรี กล่าวถึงกรณีที่มีการเตรียมฟ้องรัฐบาลเนื่องจากมติคณะรัฐมนตรีอนุมัติให้มีการจัดซื้อวัคซีนซิโนแวคเพิ่มเติม โดยอ้างว่าการจัดซื้อวัคซีนดังกล่าวขัดต่อรัฐธรรมนูญ เพราะวัคซีนที่สั่งซื้อไม่สามารถป้องกันการติดเชื้อโควิด-19 สายพันธุ์ที่กำลังแพร่ระบาดได้นั้น ล่าสุดองค์การอนามัยโลก ประจำประเทศไทย ได้เผยแพร่ข้อมูลเพื่อย้ำว่า วัคซีนที่ได้รับการรับรองและขึ้นทะเบียนมีความปลอดภัยและมีประสิทธิภาพ โดยประเทศไทยมีวัคซีน 3 ชนิดที่ให้บริการไปแล้ว ได้แก่ แอสตร้าเซนเนก้า ซิโนฟาร์ม และซิโนแวค อีกทั้งการบริหารจัดการสถานการณ์โควิด -19 โดยเฉพาะแผนการจัดหาวัคซีน ประกอบไปด้วยคณะแพทย์ผู้เชี่ยวชาญระดับประเทศและมีงานวิชาการรองรับ เป็นไปตามกฎหมายทุกขั้นตอน สอดคล้องตามรัฐธรรมนูญและทำตามหลักภาวะฉุกเฉินด้านสาธารณสุขระหว่างประเทศ ขององค์การอนามัยโลก(WHO)
31,ประมวลข่าวทั่วไทยประจำวันที่ 8 กรกฎาคม 2564
32,           ผลการวิจัยในชิลีซึ่งตีพิมพ์ในวารสารการแพทย์นิวอิงแลนด์ ระบุว่า วัคซีนโคโรนาแวก                ซึ่งเป็นวัคซีนโควิด-19 ของบริษัทซิโนแวก ไบโอเทค มีประสิทธิภาพในการป้องกันการติดเชื้อ               โควิด-19 ต่ำกว่าวัคซีนของไฟเซอร์/ไบโอเอ็นเทค ในการฉีดสองโดส
33,บริษัทไฟเซอร์ อิงค์และบริษัทไบโอเอ็นเทค ประกาศเมื่อวานนี้ว่า จะหาทางขออนุมัติฉีดวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทค เข็มที่สาม หลังพิจารณาหลักฐานบ่งชี้ว่า แม้ได้รับวัคซีนแล้วก็เสี่ยงที่จะกลับมาติดเชื้อได้อีกในระยะเวลา 6 เดือน รวมถึงความเสี่ยงของเชื้อกลายพันธุ์               สายพันธุ์เดลตา ซึ่งกำลังกลายเป็นสายพันธุ์หลักที่แพร่ระบาดทั่วโลกในเวลานี้
34,           คิวบาเปิดเผยว่า วัคซีนโซเบรานา 2  ซึ่งเป็นวัคซีนโควิด-19ที่คิวบาพัฒนาขึ้น รวมถึงวัคซีนโซเบรานา พลัส ที่เป็นวัคซีนเข็มกระตุ้น มีประสิทธิภาพในการป้องกันเชื้อโควิด-19 สูงถึงร้อยละ 91.2 ในการทดลองทางคลินิกระยะสุดท้าย
35,      องค์การอนามัยโลกหรือดับเบิ้ลยูเอชโอระบุว่า มีแนวโน้มว่ามีความเชื่อมโยงระหว่างการใช้วัคซีนโควิด-19 ที่ผลิตด้วยเทคโนโลยีเอ็มอาร์เอ็นเอ กับการเกิดอาการกล้ามเนื้อหัวใจอักเสบ ซึ่งไม่พบบ่อยนัก แต่ระบุว่า ประโยชน์ของวัคซีนยังคงมีมากกว่าความเสี่ยง
36,         เวลานี้ไม่ว่าประเทศไหนต่างก็ต้องปรับกลยุทธ์เพื่อรับมือกับการเชื้อไวรัสโควิด-19 ที่เกิดการแพร่ระบาดของสายพันธุ์ใหม่ๆ เข้ามาในประเทศอย่างต่อเนื่อง ทำให้กลยุทธ์เดิมที่เคยทำมาอาจไม่ได้ผล ประเทศที่เมื่อปีที่แล้วเคยรับมือได้ดี มาวันนี้กลับกำลังเพลี่ยงพล้ำ ซึ่งกลายเป็นปัญหาหนักอกของรัฐบาลท้องถิ่นในเวลานี้
