,news_text
37," นายอนุชา บูรพชัยศรี โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยว่า แนวทางในการจัดหาวัคซีนของประเทศไทยยังเป็นไปตามกรอบแผนการจัดหาวัคซีนโควิด-19 จำนวน 150 ล้านโดสภายในกลางปี 2565 เพื่อให้ประชาชนทุกกลุ่มสามารถเข้าถึงวัคซีนอย่างทั่วถึง โดยมติ ครม. ที่ผ่านมา ได้เร่งรัดให้มีการจัดหาวัคซีน ทั้งวัคซีนหลักและวัคซีนทางเลือก โดยเน้นการจัดหาวัคซีนที่มีการใช้เทคโนโลยีที่หลากหลายด้วย เพื่อรองรับสถานการณ์การกลายพันธ์ของเชื้อโควิดที่กำลังทวีความรุนแรงขึ้นอีกครั้งทั่วโลก ล่าสุดขณะนี้ ประเทศไทย มีการเจรจาวัคซีนหลักไปแล้วมากกว่า 105.5 ล้านโดส ซึ่งวัคซีนหลักจะเป็นวัคซีนที่รัฐบาลจัดหาและประชาชนสามารถเข้าถึงได้ฟรีโดยไม่เสียค่าใช้จ่าย ประกอบด้วย AstraZeneca, Sinovac, Pfizer และ Johnson & Johnson"
38, 
39,
40,"นายกเทศมนตรีเพชรบูรณ์ เผย ที่ประชุมอนุมัติงบ 6 ล้าน จัดซื้อ ""ซิโนฟาร์ม"" ฉีดให้ประชาชน สร้างภูมิคุ้มกันหมู่เขตเทศบาลเมืองฯ"
41,อิสราเอลเริ่มฉีดวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทคเข็มสาม หรือ บูสเตอร์ ให้ประชาชนกลุ่มเสี่ยง เพื่อกระตุ้นภูมิคุ้มกัน ลดความเสี่ยงจากเชื้อกลายพันธุ์สายพันธุ์เดลตา โดยกลุ่มเสี่ยงเป็นกลุ่มแรกที่ได้รับวัคซีนครบสองโดสมาไม่น้อยกว่า 6 เดือนแล้ว ขณะที่ประชากรวัยผู้ใหญ่อื่นๆ จะมีการพิจารณาฉีดวัคซีนเข็มสามอีกครั้ง
42,            อิสราเอลเริ่มฉีดวัคซีนโควิด-19 ของบริษัทไฟเซอร์/ไบโอเอ็นเทคเข็มสาม หรือ บูสเตอร์ ให้ประชาชนกลุ่มเสี่ยง เพื่อกระตุ้นภูมิคุ้มกัน และลดความเสี่ยงจากเชื้อกลายพันธุ์สายพันธุ์เดลตาแล้ว โดยกลุ่มเสี่ยงเป็นกลุ่มแรกที่ได้รับวัคซีนครบสองโดสมาไม่น้อยกว่า 6 เดือน ขณะที่ประชากรวัยผู้ใหญ่อื่นๆ จะมีการพิจารณาฉีดวัคซีนเข็มสามอีกครั้ง
43,       นายณรงค์ศักดิ์ โอสถธนากร ผู้ว่าราชการจังหวัดลำปาง ลงนามคำสั่งจังหวัดลำปาง ที่ 3449/2564 เรื่องมาตรการตั้งด่านตรวจหรือจุดสกัด และมาตรการคัดกรองการเดินทางเข้าพื้นที่จังหวัดลำปาง โดยความเห็นชอบของคณะกรรมการโรคติดต่อจังหวัดลำปาง ซึ่งมีสาระสำคัญดังนี้ 
44,"           รัฐบาลสหรัฐยังไม่เห็นด้วยที่จะให้ฉีดวัคซีนโควิด-19 เข็มสามของไฟเซอร์/ไบโอเอ็นเทค โดยกระทรวงสาธารณสุขสหรัฐออกแถลงการณ์ หลังมีการหารือกับบริษัทไฟเซอร์เมื่อวานนี้ว่า     ชาวอเมริกันที่ได้รับวัคซีนครบโดสแล้ว ยังไม่จำเป็นต้องรับการฉีดวัคซีนโดสสาม หรือ “บูสเตอร์"" แต่ขอให้ทางบริษัทไฟเซอร์นำเสนอข้อมูลมากกว่านี้ ทั้งนี้บริษัทไฟเซอร์ได้ยื่นขออนุมัติฉีดวัคซีนบูสเตอร์ด้วยเหตุผลว่า เชื้อโควิด-19 มีการการกลายพันธุ์อย่างรวดเร็ว โดยเฉพาะสายพันธุ์เดลตาที่ทำให้ผู้ได้รับวัคซีนของไฟเซอร์/ไบโอเอ็นเทค ครบสองโดสนานกว่า 6 เดือน มีความเสี่ยงติดเชื้อมากขึ้น"
45,"           รัฐบาลสหรัฐยังไม่เห็นด้วยที่จะให้ฉีดวัคซีนโควิด-19 เข็มสามของไฟเซอร์/ไบโอเอ็นเทค โดยกระทรวงสาธารณสุขสหรัฐออกแถลงการณ์ หลังมีการหารือกับบริษัทไฟเซอร์เมื่อวานนี้ว่า     ชาวอเมริกันที่ได้รับวัคซีนครบโดสแล้ว ยังไม่จำเป็นต้องรับการฉีดวัคซีนโดสสาม หรือ “บูสเตอร์""                แต่ขอให้ทางบริษัทไฟเซอร์นำเสนอข้อมูลมากกว่านี้ ทั้งนี้บริษัทไฟเซอร์ได้ยื่นขออนุมัติฉีดวัคซีน             บูสเตอร์ด้วยเหตุผลว่า เชื้อโควิด-19 มีการกลายพันธุ์อย่างรวดเร็ว โดยเฉพาะสายพันธุ์เดลตาที่ทำให้ผู้ได้รับวัคซีนของไฟเซอร์/ไบโอเอ็นเทค ครบสองโดสนานกว่า 6 เดือน มีความเสี่ยงติดเชื้อมากขึ้น"
46,"    กระทรวงสาธารณสุขเวียดนาม รายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 1,196 คน ในรอบ 24 ชั่วโมงที่ผ่านมา ในจำนวนนี้ 971 คน อยู่ในนครโฮจิมินห์ ศูนย์กลางเศรษฐกิจของประเทศ ส่งผลให้มียอดผู้ติดเชื้อสะสมรวม 36,605 คน และมียอดผู้เสียชีวิต 132 คน "
47,โปรยหัว:        ประเด็นการจับคู่ฉีดวัคซีนโควิด-19 ต่างขนานกัน กำลังเป็นที่พูดถึงอย่างกว้างขวาง เนื่องจากมีการศึกษาพบว่า วัคซีนโควิด-19 บางขนานสองโดสไม่สามารถรับมือกับเชื้อกลายพันธุ์โดยเฉพาะสายพันธุ์เดลตาได้..ติดตามจากรายงานพิเศษ..//ผู้รายงาน: ประเทศต่างๆ พยายามเร่งฉีดวัคซีนให้ประชาชนให้ได้มากที่สุด ท่ามกลางการติดเชื้อโควิด-19 ที่เพิ่มขึ้นมาก                ทั้งนี้หากมองย้อนกลับไปในช่วงปีแรกของการระบาดใหญ่ พบว่าสถานการณ์การระบาดในปัจจุบันแทบไม่ได้ลดความรุนแรงลงเลย แม้โลกจะมีวัคซีนใช้งานแล้วก็ตาม                  ซึ่งส่วนหนึ่งอาจเป็นเพราะระยะเวลาการระบาดที่ยาวนานทำให้เชื้อกลายพันธุ์ต่อเนื่อง อีกทั้งมีข้อมูลวิจัยว่า วัคซีนลดประสิทธิภาพลงและไม่สามารถรับมือกับเชื้อกลายพันธุ์ได้ โดยเฉพาะสายพันธุ์เดลตา ที่กำลังแพร่กระจายอย่างรวดเร็ว ทำให้ทั่วโลกต้องเผชิญกับตัวเลขผู้ติดเชื้อพุ่งสูงขึ้นอย่างน่าตกใจ แม้ในประเทศที่มีการฉีดวัคซีนในอัตราส่วนมาก                        จากสถานการณ์ดังกล่าวหลายประเทศจึงเริ่มพิจารณาที่จะฉีดวัคซีนสองโดสต่างขนานกัน ในขณะที่บางประเทศได้มีการอนุมัติให้จับคู่วัคซีนแล้ว เพื่อเพิ่มประสิทธิภาพในการป้องกันและลดความรุนแรงของเชื้อกลายพันธุ์ นอกจากนี้ยังเป็นการแก้ปัญหาการจัดส่งวัคซีนล่าช้าด้วย                       ในเยอรมนี คณะกรรมการวัคซีนแนะนำให้ประชาชนที่ฉีดวัคซีนแอสตราเซเนกาโดสแรก ควรฉีดโดสสองด้วยวัคซีนของไฟเซอร์/ไบโอเอ็นเทค หรือโมเดอร์นา เพราะจะกระตุ้นภูมิคุ้มกันได้มากกว่าการฉีดแอสตราเซเนกาสองโดส โดยนายกรัฐมนตรีอังเกลา เมร์เคล ของเยอรมนีก็ฉีดวัคซีนโดสสองเป็นของโมเดอร์นา หลังฉีดวัคซีนแอสตราเซเนกาโดสแรกผ่านไป 2 เดือน                       ในแคนาดา แนะนำให้ฉีดวัคซีนของแอสตราเซเนกาโดสแรก และโดสสองเป็นวัคซีนของไฟเซอร์/ไบโอเอ็นเทคหรือโมเดอร์นา ส่วนประชาชนที่รับวัคซีนโดสแรกของ                     โมเดอร์นาหรือไฟเซอร์ สามารถสลับวัคซีนที่เป็นเทคโนโลยี mRNA เหมือนกันเป็นเข็มที่สองแทนได้               ในเกาหลีใต้ความล่าช้าในการจัดส่งวัคซีน ทำให้ทางการเกาหลีใต้เริ่มจับคู่ฉีดวัคซีน ด้วยการฉีดแอสตราเซเนกาเข็มแรก และ เข็มสองเป็นไฟเซอร์ไบโอเอ็นเทค               ในสหรัฐอาหรับเอมิเรตส์ มีการเสนอให้ใช้วัคซีนไฟเซอร์/ไบโอเอ็นเทค                       เป็นบูสเตอร์ หรือ เข็มสาม สำหรับผู้ได้รับวัคซีนซิโนฟาร์มครบโดสแล้ว โดยองค์การด้านสุขภาพแนะนำว่า วัคซีนต่างขนานกันเหมาะจะเป็นบูสเตอร์ แต่ให้ขึ้นอยู่กับการตัดสินใจของประชาชน  และผู้เชี่ยวชาญยังไม่แนะนำอย่างเป็นทางการ            เวียดนามเเป็นอีกประเทศหนึ่งที่จะจับคู่ฉีดวัคซีน โดยผู้ได้รับการฉีดวัคซีนแอสตราเซเนกาโดสแรก จะได้รับการฉีดวัคซีนโดสสองของไฟเซอร์/ไบโอเอ็นเทค แต่แนวทางปฏิบัตินี้จะเป็นไปด้วยความสมัครใจเท่านั้น                      ทั้งนี้ผู้เชี่ยวชาญหลายคนเชื่อว่าการจับคู่วัคซีนต่างขนานกันอาจเป็นความคิดที่ดี แต่ก็เร็วเกินไปที่จะยืนยันเรื่องนี้ ขณะที่ผลการวิจัยเบื้องต้นในสเปนพบว่าการใช้วัคซีนโควิด-19 ผสมสองโดสระหว่างไฟเซอร์/ไบโอเอ็นเทค กับ แอสตราเซเนกา มีความปลอดภัยและมีประสิทธิภาพสูง นอกจากนี้ยังเคยมีงานวิจัยของอังกฤษที่บ่งชี้ว่าปฏิกิริยาเชิงลบจากการใช้วัคซีนต่างขนานกันเกิดขึ้นช่วงสั้น ๆ และไม่มีข้อน่ากังวลเรื่องความปลอดภัยอื่น            อย่างไรก็ตามในเรื่องนี้องค์การอนามัยโลกเตือนว่า เป็นกระแสความสนใจที่อันตรายเนื่องจากมีข้อมูลเพียงเล็กน้อยเกี่ยวกับประสิทธิภาพและความปลอดภัย  ยกเว้นว่าหน่วยงานสาธารณสุขในแต่ละประเทศจะมีผลการศึกษาวิจัยเพียงพอ..//
48,จ.ยะลา เดินหน้าฉีดวัคซีนซิโนแวค เข็ม 1 ให้ประชาชน ขณะ แพทย์เชี่ยวชาญ สูติแพทย์ รพ.ยะลา เผย เตรียมฉีดวัคซีนสลับชนิด ตามนโยบาย สธ.  เน้นย้ำ 3 อ. สร้างภูมิคุ้มกันโรค
49,            วันนี้ (15 ก.ค.64) เวลา 14.00 น. ที่ห้องประชุมศรีสองรัก ชั้น 5 ศาลากลางจังหวัดเลย นายชัยธวัช เนียมศิริ ผู้ว่าราชการจังหวัดเลย เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดเลย ครั้งที่ 37/2564 ร่วมกับคณะกรรมการฯ ศูนย์บริหารราชการฉุกเฉินการแพร่ระบาดของโรคติดเขื้อไวรัสโคโรนา 2019 จังหวัดเลย ครั้งที่ 28/2564 และคณะกรรมการป้องกันและยับยั้งภัยพิบัติกรณีฉุกเฉิน โดยมี นายผดุงศักดิ์ หาญปรีชาสวัสดิ์ รองผู้ว่าราชการจังหวัดเลย นายณรงค์ จีนอ่ำ รองผู้ว่าราชการจังหวัดเลย นายศิริวัฒน์ พินิชพานิชย์ ปลัดจังหวัดเลย และหัวหน้าส่วนราชการที่เกี่ยวข้อง เข้าร่วมประชุมฯ
50,ผู้ประกาศ : เชื้อโควิด-19 พัฒนาตัวเองกลายพันธุ์หลากหลายสายพันธุ์ ซึ่งส่วนมากมีความรุนแรงและแพร่ได้เร็วกว่าเชื้อดั้งเดิม ทำให้นักวิจัยและนักวิทยาศาสตร์ต้องคิดค้นพัฒนาวัคซีนและหาวิธีเพื่อใช้วัคซีนที่มีอยู่ ให้สามารถยับยั้งการแพร่เชื้อให้ได้ ด้วยการฉีดวัคซีนโดสที่ 3 รายละเอียดจะเป็นอย่างไร ติดตามจากรายงานพิเศษ
51,จ.นครพนม ผุดไอเดียเปิดโรงบาลจิ๋วเพิ่มจำนวนเตียงในการรักษาผู้ป่วยโควิด-19
52,          วันนี้ 16 กรกฎาคม 2564 ที่ห้องประชุมพระธาตุพนม ชั้น 5 ศาลากลางจังหวัดนครพนม นายสุวิทย์ จันทร์หวร รองผู้ว่าราชการจังหวัดนครพนม พร้อมด้วยนายมานพ ฉลาดธัญญกิจ นายแพทย์สาธารณสุขจังหวัดนครพนม ร่วมกันแถลงสถานการณ์การแพร่ระบาดไวรัสโควิด-19 ในพื้นที่ ซึ่งในวันนี้มีผู้ติดเชื้อเพิ่มขี้น 70 ราย ซึ่งเป็นผู้ที่เดินทางมาจากพื้นที่เสี่ยงทั้งหมด
53,          คกก.โรคติดต่อจังหวัดนคพนม แจ้งว่า จังหวัดนคพนมได้ปรับมาตรการเพิ่มเติม ณ 16 ก.ค. 64 ข้อปฏิบัติผู้ที่เดินทางเข้าจังหวัดนครพนม ในกลุ่มที่ฉีดวัคซีน : กรณีฉีดวัคซีนซิโนแวคหรือซิโนฟาร์ม ครบ 2 เข็มมาแล้ว 2 สัปดาห์ หรือแอสตร้าเซเนก้า หรือไฟเซอร์ หรือโมเดอร์น่า 1 เข็มมาแล้ว 3 สัปดาห์ ต้องมีผล RT-PCR เป็นลบไม่เกิน 72 ชม. ในกรณีไม่มีผลตรวจ RT-PCR ต้องทำ Rapid Antigen Test ทุกราย
54,          คณะกรรมการโรคติดต่อจังหวัดนครพนม เปิดเผยต่อสื่อมวลชนจังหวัดนครพนม ถึงมาตรการของจังหวัดเกี่ยวกับผู้ที่เดินทางเข้าจังหวัดนครพนมที่มีการปรับเพิ่มเติมพื้นที่ควบคุมสูงสุดและเข้มงวด 10 จังหวัดพื้นที่สีแดงเข้ม และพื้นที่ควบคุมสูงสุด 24 จังหวัดพื้นที่สีแดง เพื่อเข้ามาพักอาศัยในพื้นที่จังหวัดนครพนม ก่อนเข้าพักอาศัย ต้องตรวจ ต้องรายงาน ต้องกักตัว ในพื้นที่กักกันโรคแห่งรัฐที่จังหวัดกำหนด (State Quarantine) เป็นเวลา 14 วัน นับแต่วันที่รายงานตัว การกักตัว ยกเว้นเฉพาะบุคคลที่ได้รับการฉีดวัคซีนฯ Sinovac ครบ 2 เข็มมากกว่า 2 สัปดาห์ หรือได้รับการฉีดวัคซีนฯ Astra Zeneca 1 เข็มมากกว่า 4 สัปดาห์มาแล้ว ไม่ต้องทำการกักตัว และให้ปฏิบัติตามมาตรการ (D-M-H-T-T) อย่างเคร่งครัดและพื้นที่ควบคุม 25 จังหวัดพื้นที่สีส้ม และพื้นที่เฝ้าระวังสูง 17 จังหวัดพื้นที่สีเหลือง เพื่อเข้ามาพักอาศัยในพื้นที่จังหวัดนครพนม ก่อนเข้าพักอาศัยต้องรายงานตัวเพื่อการตรวจคัดกรองประเมินความเสี่ยงและสอบสวนโรค ยกเว้น บุคคลที่ได้รับการฉีดวัคซีนฯ Sinovac ครบ 2 เข็มมากกว่า 2 สัปดาห์ หรือได้รับการฉีดวัคซีนฯ Astra Zeneca 1 เข็มมากกว่า 4 สัปดาห์มาแล้วก่อนเข้าพื้นที่จังหวัดนครพนม
55,        วันนี้ (16 ก.ค.64)  ที่ห้องประชุมพระธาตุพนม ชั้น 5 ศาลากลางจังหวัดนครพนม ภายหลังการประชุมคณะกรรมการโรคติดต่อจังหวัดนครพนม นายไกรสร กองฉลาด ผู้ว่าราชการจังหวัดนครพนม มอบหมายให้นายสุวิทย์ จันทร์หวร รองผู้ว่าราชการจังหวัดนครพนม และนายแพทย์มานพ ฉลาดธัญญกิจ นายแพทย์สาธารณสุขจังหวัดนครพนม ร่วมกันแถลงสถานการณ์การแพร่ระบาดไวรัสโควิด-19 ในพื้นที่ โดยวันนี้มีผู้ติดเชื้อเพิ่มขี้น 70 ราย (รายที่ 675-726) เป็นผู้เดินทางมาจากพื้นที่เสี่ยง (กรุงเทพมหานคร สมทรปราการ ปทุมธานี สมุทรสาคร พระนครศรีอยุธยา ลพบุรี นครปฐม ชลบุรี) เข้ารับการรักษาที่โรงพยาบาลนครพนม 15 ราย รพ.ปลาปาก 14 ราย โรงพยาบาลสมเด็จพระยุพราชธาตุพนม 10 ราย รพ.โพนสวรรค์ 6 ราย รพ.เรณูนคร 6 ราย รพ.นาหว้า 4 ราย รพ.บ้านแพง 4 ราย รพ.นาทม 3 ราย และ รพ.ท่าอุเทน จำนวน 2 ราย จังหวัดนครพนมมียอดผู้ป่วยยืนยันติดเชื้อสะสมเป็น 726 ราย เสียชีวิต 6 ราย และอยู่ระหว่างการรักษา 495 ราย ส่วนจำนวนเตียงการรักษาผู้ป่วยโควิดทั้งของโรงพยาบาลหลักประจำ 12 อำเภอ และโรงพยาบาลสนามที่มีการเปิดขึ้นมาเพื่อดูแลผู้ที่ติดเชื้อ รวมทั้งสิ้น 696 เตียง มีการใช้เตียงไปแล้ว 495 เตียง คงเหลือ 201 เตียง
56,
57,           สื่อรายงานว่า หลังจากที่มีวัคซีนโควิด-19 ปลอม ขณะนี้พบว่ามีการเสนอขายใบรับรองการฉีดวัคซีนโควิด-19 ปลอมในเมืองหลวงของเม็กซิโก ซึ่งมีวัตถุประสงค์ขายให้ประชาชนที่จะเดินทางไปประเทศที่ผู้เดินทางต้องได้รับการพิสูจน์ว่าฉีดวัคซีนโควิด-19 แล้ว
58,แพทย์หญิงอภิสมัย ศรีรังสรรค์ ผู้ช่วยโฆษก ศบค. แถลงถึงการนำ Antigen test kit มาตรวจค้นหาผู้ติดเชื้อโควิด-19 ด้วยตนเอง ว่า นพ.ศุภกิจ  ศิริลักษณ์ อธิบดีกรมวิทยาศาสตร์การแพทย์ กระทรวงสาธารณสุข(สธ.) ให้ข้อมูลว่า Antigen test kit จะช่วยให้ประชาชนเข้าถึงการตรวจเชื้อโควิด-19 ได้มากที่สุดและนำไปสู่การเข้ารับการรักษาให้เร็วที่สุดด้วย ซึ่งสามารถทำการตรวจได้ง่าย ได้ผลเร็ว และราคาไม่แพง แต่ในแง่ของความแม่นยำอาจต้องมีการตรวจซ้ำ หากพบว่าผลตรวจเป็นบวก เพราะมีมาตรฐานไม่เท่ากับการตรวจแบบ RT-PCR โดยต้องไปตรวจเพิ่มในระบบสาธารณสุขใกล้บ้านเพื่อให้ช่วยประเมินอาการและความรุนแรงของการติดเชื้อเพื่อให้สามารถนำไปสู่การแยกกักตัวในกลุ่มสีเขียวอ่อน และสีเขียวแก่ ตามที่รัฐได้จัดทำรูปแบบของการกักตัวที่บ้าน (Home Isolation) กับการกักตัวในชุมชน (Community Isolation) เพื่อลดการมีอาการรุนแรงจนเข้าสู่กลุ่มสีเหลืองและสีแดง ซึ่งวิธีการนี้จะช่วยลดปัญหาเรื่องเตียงลงได้  
59,เมื่อเวลา18.30นวันที่18กรกฏาคม2564ที่ห้องประชุมศาลากลางจังหวัดภูเก็ต อำเภอเมืองภูเก็ต นายปิยพงศ์ ชูวงศ์ รองผู้ว่าราชการจังหวัดภูเก็ต พร้อมด้วยนายแพทย์เฉลิมพงษ์ สุคนธผล ผู้อำนวยการโรงพยาบาลวชิระภูเก็ต นางบุษยา ใจเปี่ยม ประชาสัมพันธ์จังหวัดภูเก็ต ร่วมกันแถลงข่าว กรณีจังหวัดภูเก็ต เตรียมยกระดับ เพิ่มมาตรการเข้มคัดกรอง บุคคล เข้าพื้นที่ และมาตรการปิดสถานที่ ฯ เพื่อป้องกันการแพร่กระจายเชื้อโควิด-19 มีผลตั้งแต่ 20 ก.ค.64 เป็นต้นไปหลังจากที่มีจังหวัดต่างๆมีแนวโน้มของผู้ที่ติดเชื้อเพิ่มขึ้นและทางศบค.ได้มีการกำหนดให้จังหวัดที่ต้องมีการควบคุมสูงสุดเพิ่มขึ้น 
60,จังหวัดภูเก็ต แถลงยกระดับมาตรการเข้ม โดยผู้ที่เดินทางมาจาก 76 จังหวัด ยกเว้นจังหวัดภูเก็ต ต้องแสดงผลการฉีดวัคซีนและผลตรวจหาเชื้อโควิด-19 ไม่เกิน 7 วัน และด่านทางบกจะปิดให้เดินทางเข้าจังหวัด ช่วงเวลา 23.00 - 04.00 น. เริ่มบังคับใช้ 20 กรกฎาคมนี้ 
61,จังหวัดภูเก็ต แถลงยกระดับมาตรการเข้มการเดินทางเข้าจังหวัดภูเก็ต โดยผู้ที่เดินทางมาจาก 76 จังหวัด ยกเว้นจังหวัดภูเก็ต ต้องแสดงผลการฉีดวัคซีนและผลตรวจหาเชื้อโควิด-19 มาแล้วไม่เกิน 7 วัน และด่านทางบกจะปิดให้เดินทางเข้าจังหวัดช่วงเวลา 23.00 - 04.00 น. ของอีกวัน เริ่มบังคับใช้ 20 กรกฎาคมนี้
62,"นายอนุชา บูรพชัยศรี โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยว่า ศบค. เห็นชอบกรอบการจัดหาวัคซีน 120 ล้านโดสในปี 2565 นอกเหนือจาก 105.5 ล้านโดสที่จะจัดหามาภายในปี 2564 นี้ ขณะเดียวกันคณะรัฐมนตรียังเห็นชอบให้กระทรวงสาธารณสุขจัดหาวัคซีนไฟเซอร์ (Pfizer) ในเบื้องต้นจำนวน 20 ล้านโดส โดยมีกรมควบคุมโรคเป็นผู้เจรจาและสั่งซื้อ รวมทั้งให้องค์การเภสัชกรรมเป็นตัวกลางเจรจากับบริษัท ซิลลิค ฟาร์มา จำกัด ในการจัดหาวัคซีนโมเดอร์นา (Moderna) ซึ่งมีความคืบหน้าเป็นลำดับ ทั้งนี้แผนการจัดหาวัคซีนและการกระจายวัคซีนโดย ศบค. เป็นการทำงานร่วมกันในระดับนโยบายที่มีคำแนะนำด้านวิชาการจากคณะแพทย์ เพื่อให้เกิดความรอบคอบ รัฐบาลโดยกระทรวงสาธารณสุขจะเป็นผู้ดำเนินการจัดหาวัคซีนหลักที่ประชาชนสามารถเข้าถึงได้ฟรีโดยไม่เสียค่าใช้จ่าย ได้แก่ วัคซีน AstraZeneca, วัคซีน Sinovac, วัคซีน Pfizer และวัคซีน Johnson& Johnson โดยมีวัคซีน Sinopharm และวัคซีน Moderna เป็นวัคซีนทางเลือกภายใต้แนวทางความร่วมมือระหว่างหน่วยงานและเอกชน"
63,ประมวลข่าวทั่วไทยประจำวันที่ 19 กรกฎาคม 2564
64,     รัฐบาลลาวตัดสินใจขยายระยะเวลากำหนดใช้มาตรการปิดเมืองออกไปอีก 15 วันจนถึงวันที่ 3 สิงหาคม จากประกาศเดิมที่จะสิ้นสุดลงในวันนี้
65, นายกรัฐมนตรีมูห์ยิดดิน ยัสซิน ของมาเลเซีย ประกาศเป้าหมายฉีดวัคซีนโควิด-19 ให้ประชากรวัยผู้ใหญ่ครบทุกคนภายในเดือนตุลาคมนี้ โดยจะเพิ่มการฉีดวัคซีนให้ได้ 5 แสนโดส                 ต่อวัน อันเป็นส่วนหนึ่งของมาตรการต่อสู้กับการระบาดของโรคโควิด-19 ระลอกใหม่ที่ทำให้จำนวนผู้ติดเชื้อพุ่งสูงวันละกว่า 1 หมื่นคน    นายกรัฐมนตรีมาเลเซียกล่าวด้วยว่า การฉีดวัคซีนยังคงเป็นหัวใจหลักที่จะช่วยให้สามารถเอาชนะโรคโควิด-19ได้ และว่า เดิมรัฐบาลได้ตั้งกรอบเวลาในการฉีดวัคซีนให้ครอบคลุมประชากรร้อยละ 80 ภายในไตรมาสแรกของปี 2565 แต่ได้ขยับเข้ามาเป็นเดือนธันวาคม ปีนี้ และเวลานี้ก็จะเร่งเป้าหมายดังกล่าวให้เร็วยิ่งขึ้นอีก ทั้งนี้มาเลเซียได้สั่งจองวัคซีนโควิด-19 ไว้กว่า 76 ล้าน 1 แสนโดส โดยร้อยละ 70 เป็นวัคซีนชนิด mRNA ของไฟเซอร์/ไบโอเอ็นเทค.  
